v8-version,8,8,278,15,0
code-creation,Builtin,2,2702,0x100f9fe40,292,CallApiCallback
code-creation,Builtin,2,2708,0x100f9ff80,288,CallApiGetter
code-creation,Builtin,2,2715,0x100fa00c0,12,HandleApiCall
code-creation,Builtin,2,2721,0x100fa00e0,12,HandleApiCallAsFunction
code-creation,Builtin,2,2728,0x100fa0100,12,HandleApiCallAsConstructor
code-creation,Builtin,2,2735,0x100fa0120,56,AllocateInYoungGeneration
code-creation,Builtin,2,2742,0x100fa0160,52,AllocateRegularInYoungGeneration
code-creation,Builtin,2,2749,0x100fa01a0,56,AllocateInOldGeneration
code-creation,Builtin,2,2756,0x100fa01e0,52,AllocateRegularInOldGeneration
code-creation,Builtin,2,2763,0x100fa0220,464,CopyFastSmiOrObjectElements
code-creation,Builtin,2,2770,0x100fa0400,524,GrowFastDoubleElements
code-creation,Builtin,2,2777,0x100fa0620,420,GrowFastSmiOrObjectElements
code-creation,Builtin,2,2784,0x100fa07e0,488,DebugBreakTrampoline
code-creation,Builtin,2,2790,0x100fa09e0,156,FrameDropperTrampoline
code-creation,Builtin,2,2797,0x100fa0a80,48,HandleDebuggerStatement
code-creation,Builtin,2,2804,0x100fa0ac0,184,ToNumber
code-creation,Builtin,2,2810,0x100fa0b80,104,PlainPrimitiveToNumber
code-creation,Builtin,2,2817,0x100fa0c00,224,ToNumberConvertBigInt
code-creation,Builtin,2,2824,0x100fa0d00,136,Typeof
code-creation,Builtin,2,2829,0x100fa0da0,104,BigIntToI64
code-creation,Builtin,2,2836,0x100fa0e20,4,BigIntToI32Pair
code-creation,Builtin,2,2842,0x100fa0e40,212,I64ToBigInt
code-creation,Builtin,2,2848,0x100fa0f20,4,I32PairToBigInt
code-creation,Builtin,2,2855,0x100fa0f40,116,ToBooleanLazyDeoptContinuation
code-creation,Builtin,2,2862,0x100fa0fc0,3620,KeyedLoadIC_PolymorphicName
code-creation,Builtin,2,2869,0x100fa1e00,17240,KeyedStoreIC_Megamorphic
code-creation,Builtin,2,2876,0x100fa6160,348,LoadGlobalIC_NoFeedback
code-creation,Builtin,2,2883,0x100fa62c0,68,LoadIC_FunctionPrototype
code-creation,Builtin,2,2890,0x100fa6320,8,LoadIC_StringLength
code-creation,Builtin,2,2896,0x100fa6340,16,LoadIC_StringWrapperLength
code-creation,Builtin,2,2903,0x100fa6360,3296,LoadIC_NoFeedback
code-creation,Builtin,2,2910,0x100fa7060,32,StoreGlobalIC_Slow
code-creation,Builtin,2,2916,0x100fa70a0,7852,StoreIC_NoFeedback
code-creation,Builtin,2,2923,0x100fa8f60,196,KeyedLoadIC_SloppyArguments
code-creation,Builtin,2,2930,0x100fa9040,68,LoadIndexedInterceptorIC
code-creation,Builtin,2,2937,0x100fa90a0,272,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,2,2944,0x100fa91c0,272,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,2,2953,0x100fa92e0,272,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,2,2969,0x100fa9400,272,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,2,2977,0x100fa9520,6932,StoreFastElementIC_Standard
code-creation,Builtin,2,2984,0x100fab040,10396,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,2,2992,0x100fad8e0,6928,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,2,3000,0x100faf400,5924,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,2,3008,0x100fb0b40,9636,ElementsTransitionAndStore_Standard
code-creation,Builtin,2,3016,0x100fb3100,21268,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,2,3024,0x100fb8420,9636,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,2,3032,0x100fba9e0,12524,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,2,3041,0x100fbdae0,864,KeyedHasIC_PolymorphicName
code-creation,Builtin,2,3048,0x100fbde60,172,KeyedHasIC_SloppyArguments
code-creation,Builtin,2,3055,0x100fbdf20,68,HasIndexedInterceptorIC
code-creation,Builtin,2,3061,0x100fbdf80,164,EnqueueMicrotask
code-creation,Builtin,2,3068,0x100fbe040,8,RunMicrotasksTrampoline
code-creation,Builtin,2,3075,0x100fbe060,2508,RunMicrotasks
code-creation,Builtin,2,3081,0x100fbea40,2284,HasProperty
code-creation,Builtin,2,3087,0x100fbf340,1116,DeleteProperty
code-creation,Builtin,2,3093,0x100fbf7a0,2064,CopyDataProperties
code-creation,Builtin,2,3100,0x100fbffc0,9824,SetDataProperties
code-creation,Builtin,2,3106,0x100fc2640,28,Abort
code-creation,Builtin,2,3112,0x100fc2660,28,AbortCSAAssert
code-creation,Builtin,2,3119,0x100fc2680,12,EmptyFunction
code-creation,Builtin,2,3140,0x100fc26a0,12,Illegal
code-creation,Builtin,2,3148,0x100fc26c0,12,StrictPoisonPillThrower
code-creation,Builtin,2,3155,0x100fc26e0,12,UnsupportedThrower
code-creation,Builtin,2,3161,0x100fc2700,64,ReturnReceiver
code-creation,Builtin,2,3168,0x100fc2760,36,ArrayConstructor
code-creation,Builtin,2,3175,0x100fc27a0,384,ArrayConstructorImpl
code-creation,Builtin,2,3181,0x100fc2940,204,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,3190,0x100fc2a20,204,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,3198,0x100fc2b00,168,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,3208,0x100fc2bc0,168,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,3217,0x100fc2c80,168,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,3225,0x100fc2d40,168,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,2,3234,0x100fc2e00,180,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,3243,0x100fc2ec0,180,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,3253,0x100fc2f80,548,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,3261,0x100fc31c0,508,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,3270,0x100fc33c0,476,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,3279,0x100fc35a0,436,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,3288,0x100fc3760,476,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,3297,0x100fc3940,436,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,2,3306,0x100fc3b00,480,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,3316,0x100fc3d00,444,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,3325,0x100fc3ec0,56,ArrayNArgumentsConstructor
code-creation,Builtin,2,3332,0x100fc3f00,12,ArrayConcat
code-creation,Builtin,2,3339,0x100fc3f20,12,ArrayPrototypeFill
code-creation,Builtin,2,3346,0x100fc3f40,972,ArrayIncludesSmiOrObject
code-creation,Builtin,2,3353,0x100fc4320,152,ArrayIncludesPackedDoubles
code-creation,Builtin,2,3360,0x100fc43c0,228,ArrayIncludesHoleyDoubles
code-creation,Builtin,2,3374,0x100fc44c0,572,ArrayIncludes
code-creation,Builtin,2,3381,0x100fc4700,880,ArrayIndexOfSmiOrObject
code-creation,Builtin,2,3388,0x100fc4a80,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,2,3395,0x100fc4b00,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,2,3402,0x100fc4b80,572,ArrayIndexOf
code-creation,Builtin,2,3408,0x100fc4dc0,12,ArrayPop
code-creation,Builtin,2,3415,0x100fc4de0,720,ArrayPrototypePop
code-creation,Builtin,2,3421,0x100fc50c0,12,ArrayPush
code-creation,Builtin,2,3427,0x100fc50e0,2696,ArrayPrototypePush
code-creation,Builtin,2,3434,0x100fc5b80,12,ArrayShift
code-creation,Builtin,2,3441,0x100fc5ba0,12,ArrayUnshift
code-creation,Builtin,2,3447,0x100fc5bc0,1020,CloneFastJSArray
code-creation,Builtin,2,3453,0x100fc5fc0,2392,CloneFastJSArrayFillingHoles
code-creation,Builtin,2,3461,0x100fc6920,1000,ExtractFastJSArray
code-creation,Builtin,2,3467,0x100fc6d20,260,ArrayPrototypeEntries
code-creation,Builtin,2,3474,0x100fc6e40,252,ArrayPrototypeKeys
code-creation,Builtin,2,3481,0x100fc6f40,260,ArrayPrototypeValues
code-creation,Builtin,2,3488,0x100fc7060,4304,ArrayIteratorPrototypeNext
code-creation,Builtin,2,3495,0x100fc8140,3820,FlattenIntoArray
code-creation,Builtin,2,3502,0x100fc9040,3756,FlatMapIntoArray
code-creation,Builtin,2,3508,0x100fc9f00,400,ArrayPrototypeFlat
code-creation,Builtin,2,3515,0x100fca0a0,452,ArrayPrototypeFlatMap
code-creation,Builtin,2,3522,0x100fca280,12,ArrayBufferConstructor
code-creation,Builtin,2,3567,0x100fca2a0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,2,3581,0x100fca2c0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,2,3589,0x100fca2e0,588,AsyncFunctionEnter
code-creation,Builtin,2,3596,0x100fca540,144,AsyncFunctionReject
code-creation,Builtin,2,3603,0x100fca5e0,136,AsyncFunctionResolve
code-creation,Builtin,2,3609,0x100fca680,12,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,2,3617,0x100fca6a0,1364,AsyncFunctionAwaitCaught
code-creation,Builtin,2,3624,0x100fcac00,1364,AsyncFunctionAwaitUncaught
code-creation,Builtin,2,3632,0x100fcb160,176,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,2,3639,0x100fcb220,172,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,2,3647,0x100fcb2e0,12,BigIntConstructor
code-creation,Builtin,2,3654,0x100fcb300,12,BigIntAsUintN
code-creation,Builtin,2,3661,0x100fcb320,12,BigIntAsIntN
code-creation,Builtin,2,3667,0x100fcb340,12,BigIntPrototypeToLocaleString
code-creation,Builtin,2,3675,0x100fcb360,12,BigIntPrototypeToString
code-creation,Builtin,2,3682,0x100fcb380,12,BigIntPrototypeValueOf
code-creation,Builtin,2,3689,0x100fcb3a0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,2,3697,0x100fcb3c0,12,CallSitePrototypeGetEvalOrigin
